Scrooge,Scrooges,复数
Secretary of State,Secretary of States,复数
Secretary-General,secretaries-general,复数
Sellotape,Sellotapes,复数
Sellotape,Sellotaped,过去式
Sellotape,Sellotaped,过去分词
Sellotape,Sellotaping,现在分词
Sellotape,Sellotapes,第三人称单数
September,Septembers,复数
Siamese,Siamese,复数
Siamese cat,Siamese cats,复数
Sikh,Sikhs,复数
Spanish,Spanishes,复数
Sunday,Sundays,复数
Sunday school,Sunday schools,复数
Swiss,Swiss,复数
T-junction,T-junctions,复数
T-shirt,T-shirts,复数
Tarmac,tarmacks,复数
Tarmac,tarmacked,过去式
Tarmac,tarmacked,过去分词
Tarmac,tarmacking,现在分词
Tarmac,tarmacks,第三人称单数
Taurus,Tauruses,复数
Teddy boy,Teddy boys,复数
Thermos,Thermoses,复数
Thursday,Thursdays,复数
Tory,Tories,复数
Trojan horse,Trojan horses,复数
Trot,trots,复数
Trot,trotted,过去式
Trot,trotted,过去分词
Trot,trotting,现在分词
Trot,trots,第三人称单数
Trotskyist,Trotskyists,复数
Tuesday,Tuesdays,复数
Turkish bath,Turkish baths,复数
Turkish delight,Turkish delights,复数
Utopia,Utopias,复数
Utopian,Utopians,复数
VIP,VIPs,复数
Venus,Venuses,复数
Victorian,Victorians,复数
Viking,Vikings,复数
WPC,WPCs,复数
Walkman,Walkmans,复数
Wednesday,Wednesdays,复数
Welshman,Welshmen,复数
White Paper,White Papers,复数
X-ray,X-rays,复数
X-ray,X-rayed,过去式
X-ray,X-rayed,过去分词
X-ray,X-raying,现在分词
X-ray,X-rays,第三人称单数
Xhosa,Xhosas,复数
Y chromosome,Y chromosomes,复数
Yank,Yanks,复数
Yankee,Yankees,复数
Yorkshire pudding,Yorkshire puddings,复数
Zionist,Zionists,复数
abacus,abacuses,复数
abandon,abandoned,过去式
abandon,abandoned,过去分词
abandon,abandoning,现在分词
abandon,abandons,第三人称单数
abase,abased,过去式
abase,abased,过去分词
abase,abasing,现在分词
abase,abases,第三人称单数
abate,abated,过去式
abate,abated,过去分词
abate,abating,现在分词
abate,abates,第三人称单数
abattoir,abattoirs,复数
abbess,abbesses,复数
abbey,abbeys,复数
abbot,abbots,复数
abbreviate,abbreviated,过去式
abbreviate,abbreviated,过去分词
abbreviate,abbreviating,现在分词
abbreviate,abbreviates,第三人称单数
abbreviation,abbreviations,复数
abdicate,abdicated,过去式
abdicate,abdicated,过去分词
abdicate,abdicating,现在分词
abdicate,abdicates,第三人称单数
abdomen,abdomens,复数
abduct,abducted,过去式
abduct,abducted,过去分词
abduct,abducting,现在分词
abduct,abducts,第三人称单数
aberration,aberrations,复数
abet,abetted,过去式
abet,abetted,过去分词
abet,abetting,现在分词
abet,abets,第三人称单数
abhor,abhorred,过去式
abhor,abhorred,过去分词
abhor,abhorring,现在分词
abhor,abhors,第三人称单数
abide,abode,过去式
abide,abode,过去分词
abide,abiding,现在分词
abide,abides,第三人称单数
ability,abilities,复数
abjure,abjured,过去式
abjure,abjured,过去分词
abjure,abjuring,现在分词
abjure,abjures,第三人称单数
abnormality,abnormalities,复数
abode,abodes,复数
abolish,abolished,过去式
abolish,abolished,过去分词
abolish,abolishing,现在分词
abolish,abolishes,第三人称单数
abolitionist,abolitionists,复数
abominate,abominated,过去式
abominate,abominated,过去分词
abominate,abominating,现在分词
abominate,abominates,第三人称单数
abomination,abominations,复数
aboriginal,aboriginals,复数
abort,aborted,过去式
abort,aborted,过去分词
abort,aborting,现在分词
abort,aborts,第三人称单数
abortion,abortions,复数
abortionist,abortionists,复数
abound,abounded,过去式
abound,abounded,过去分词
abound,abounding,现在分词
abound,abounds,第三人称单数
about-turn,about-turns,复数
about-turn,about-turned,过去式
about-turn,about-turned,过去分词
about-turn,about-turning,现在分词
about-turn,about-turns,第三人称单数
abrade,abraded,过去式
abrade,abraded,过去分词
abrade,abrading,现在分词
abrade,abrades,第三人称单数
abrasion,abrasions,复数
abrasive,abrasives,复数
abridge,abridged,过去式
abridge,abridged,过去分词
abridge,abridging,现在分词
abridge,abridges,第三人称单数
abridgement,abridgements,复数
abrogate,abrogated,过去式
abrogate,abrogated,过去分词
abrogate,abrogating,现在分词
abrogate,abrogates,第三人称单数
abscess,abscesses,复数
abscond,absconded,过去式
abscond,absconded,过去分词
abscond,absconding,现在分词
abscond,absconds,第三人称单数
abseil,abseiled,过去式
abseil,abseiled,过去分词
abseil,abseiling,现在分词
abseil,abseils,第三人称单数
absent,absented,过去式
absent,absented,过去分词
absent,absenting,现在分词
absent,absents,第三人称单数
absentee,absentees,复数
absolute,absolutes,复数
absolute majority,absolute majorities,复数
absolve,absolved,过去式
absolve,absolved,过去分词
absolve,absolving,现在分词
absolve,absolves,第三人称单数
absorb,absorbed,过去式
absorb,absorbed,过去分词
absorb,absorbing,现在分词
absorb,absorbs,第三人称单数
absorbent,absorbents,复数
abstain,abstained,过去式
abstain,abstained,过去分词
abstain,abstaining,现在分词
abstain,abstains,第三人称单数
abstainer,abstainers,复数
abstention,abstentions,复数
abstract,abstracts,复数
abstract,abstracted,过去式
abstract,abstracted,过去分词
abstract,abstracting,现在分词
abstract,abstracts,第三人称单数
abstraction,abstractions,复数
absurdity,absurdities,复数
abuse,abuses,复数
abuse,abused,过去式
abuse,abused,过去分词
abuse,abusing,现在分词
abuse,abuses,第三人称单数
abut,abutted,过去式
abut,abutted,过去分词
abut,abutting,现在分词
abut,abuts,第三人称单数
abyss,abysses,复数
acacia,acacias,复数
academic,academics,复数
academician,academicians,复数
academy,academies,复数
accede,acceded,过去式
accede,acceded,过去分词
accede,acceding,现在分词
accede,accedes,第三人称单数
accelerate,accelerated,过去式
accelerate,accelerated,过去分词
accelerate,accelerating,现在分词
accelerate,accelerates,第三人称单数
acceleration,accelerations,复数
accelerator,accelerators,复数
accent,accents,复数
accent,accented,过去式
accent,accented,过去分词
accent,accenting,现在分词
accent,accents,第三人称单数
accentuate,accentuated,过去式
accentuate,accentuated,过去分词
accentuate,accentuating,现在分词
accentuate,accentuates,第三人称单数
accept,accepted,过去式
accept,accepted,过去分词
accept,accepting,现在分词
accept,accepts,第三人称单数
acceptance,acceptances,复数
access,accessed,过去式
access,accessed,过去分词
access,accessing,现在分词
access,accesses,第三人称单数
access road,access roads,复数
access time,access times,复数
accession,accessions,复数
accessory,accessories,复数
accident,accidents,复数
accidental,accidentals,复数
acclaim,acclaimed,过去式
acclaim,acclaimed,过去分词
acclaim,acclaiming,现在分词
acclaim,acclaims,第三人称单数
acclamation,acclamations,复数
acclimatize,acclimatized,过去式
acclimatize,acclimatized,过去分词
acclimatize,acclimatizing,现在分词
acclimatize,acclimatizes,第三人称单数
acclivity,acclivities,复数
accolade,accolades,复数
accommodate,accommodated,过去式
accommodate,accommodated,过去分词
accommodate,accommodating,现在分词
accommodate,accommodates,第三人称单数
accommodation,accommodations,复数
accompaniment,accompaniments,复数
accompanist,accompanists,复数
accompany,accompanied,过去式
accompany,accompanied,过去分词
accompany,accompanying,现在分词
accompany,accompanies,第三人称单数
accomplice,accomplices,复数
accomplish,accomplished,过去式
accomplish,accomplished,过去分词
accomplish,accomplishing,现在分词
accomplish,accomplishes,第三人称单数
accomplishment,accomplishments,复数
accord,accorded,过去式
accord,accorded,过去分词
accord,according,现在分词
accord,accords,第三人称单数
accordion,accordions,复数
accost,accosted,过去式
accost,accosted,过去分词
accost,accosting,现在分词
accost,accosts,第三人称单数
account,accounts,复数
account,accounted,过去式
account,accounted,过去分词
account,accounting,现在分词
account,accountes,第三人称单数
accountant,accountants,复数
accredit,accredited,过去式
accredit,accredited,过去分词
accredit,accrediting,现在分词
accredit,accredits,第三人称单数
accretion,accretions,复数
accrual,accruals,复数
accrue,accrued,过去式
accrue,accrued,过去分词
accrue,accruing,现在分词
accrue,accrues,第三人称单数
accumulate,accumulated,过去式
accumulate,accumulated,过去分词
accumulate,accumulating,现在分词
accumulate,accumulates,第三人称单数
accumulation,accumulations,复数
accuracy,accuracies,复数
accusation,accusations,复数
accuse,accused,过去式
accuse,accused,过去分词
accuse,accusing,现在分词
accuse,accuses,第三人称单数
accuser,accusers,复数
accustom,accustomed,过去式
accustom,accustomed,过去分词
accustom,accustoming,现在分词
accustom,accustoms,第三人称单数
ace,aces,复数
ace,aced,过去式
ace,aced,过去分词
ace,acing,现在分词
ace,aces,第三人称单数
ache,aches,复数
ache,ached,过去式
ache,ached,过去分词
ache,aching,现在分词
ache,aches,第三人称单数
achieve,achieved,过去式
achieve,achieved,过去分词
achieve,achieving,现在分词
achieve,achieves,第三人称单数
achievement,achievements,复数
acid,acids,复数
acidify,acidified,过去式
acidify,acidified,过去分词
acidify,acidifying,现在分词
acidify,acidifies,第三人称单数
acknowledge,acknowledged,过去式
acknowledge,acknowledged,过去分词
acknowledge,acknowledging,现在分词
acknowledge,acknowledges,第三人称单数
acknowledgement,acknowledgements,复数
acolyte,acolytes,复数
acorn,acorns,复数
acquaint,acquainted,过去式
acquaint,acquainted,过去分词
acquaint,acquainting,现在分词
acquaint,acquaints,第三人称单数
acquaintance,acquaintances,复数
acquiesce,acquiesced,过去式
acquiesce,acquiesced,过去分词
acquiesce,acquiescing,现在分词
acquiesce,acquiesces,第三人称单数
acquire,acquired,过去式
acquire,acquired,过去分词
